,Team,Indicator Name,Year,Value
0,Cleveland Cavaliers,Rk,2010,2
1,Cleveland Cavaliers,Division,2010,East
2,Cleveland Cavaliers,Conference,2010,Central
3,Cleveland Cavaliers,League Win Ratio,2010,0.744
4,Cleveland Cavaliers,League Rank,2010,1
5,Cleveland Cavaliers,Final Rank,2010,5
6,Cleveland Cavaliers,Age,2010,28
7,Cleveland Cavaliers,W,2010,61
8,Cleveland Cavaliers,L,2010,21
9,Cleveland Cavaliers,PW,2010,59
10,Cleveland Cavaliers,PL,2010,23
11,Cleveland Cavaliers,MOV,2010,6.52
12,Cleveland Cavaliers,SOS,2010,-0.36
13,Cleveland Cavaliers,SRS,2010,6.17
14,Cleveland Cavaliers,ORtg,2010,111.2
15,Cleveland Cavaliers,DRtg,2010,104.1
16,Cleveland Cavaliers,Pace,2010,91.4
17,Cleveland Cavaliers,FTr,2010,0.341
18,Cleveland Cavaliers,3PAr,2010,0.248
19,Cleveland Cavaliers,TS%,2010,0.57
20,Cleveland Cavaliers,eFG%,2010,0.532
21,Cleveland Cavaliers,TOV%,2010,13.4
22,Cleveland Cavaliers,ORB%,2010,25.1
23,Cleveland Cavaliers,FT/FGA,2010,0.246
24,Cleveland Cavaliers,eFG%,2010,0.482
25,Cleveland Cavaliers,TOV%,2010,12.3
26,Cleveland Cavaliers,DRB%,2010,77.2
27,Cleveland Cavaliers,FT/FGA,2010,0.218
28,Cleveland Cavaliers,Arena,2010,Quicken Loans Arena
29,Cleveland Cavaliers,Attendance,2010,843042
30,Cleveland Cavaliers,Primary Color,2010,#860038
31,Cleveland Cavaliers,Secondary Color,2010,#002B60
32,Orlando Magic,Rk,2010,1
33,Orlando Magic,Division,2010,East
34,Orlando Magic,Conference,2010,Southeast
35,Orlando Magic,League Win Ratio,2010,0.72
36,Orlando Magic,League Rank,2010,2
37,Orlando Magic,Final Rank,2010,3
38,Orlando Magic,Age,2010,27.9
39,Orlando Magic,W,2010,59
40,Orlando Magic,L,2010,23
41,Orlando Magic,PW,2010,61
42,Orlando Magic,PL,2010,21
43,Orlando Magic,MOV,2010,7.49
44,Orlando Magic,SOS,2010,-0.37
45,Orlando Magic,SRS,2010,7.12
46,Orlando Magic,ORtg,2010,111.4
47,Orlando Magic,DRtg,2010,103.3
48,Orlando Magic,Pace,2010,92
49,Orlando Magic,FTr,2010,0.34
50,Orlando Magic,3PAr,2010,0.35
51,Orlando Magic,TS%,2010,0.573
52,Orlando Magic,eFG%,2010,0.536
53,Orlando Magic,TOV%,2010,13.6
54,Orlando Magic,ORB%,2010,24.6
55,Orlando Magic,FT/FGA,2010,0.246
56,Orlando Magic,eFG%,2010,0.477
57,Orlando Magic,TOV%,2010,12.2
58,Orlando Magic,DRB%,2010,77.4
59,Orlando Magic,FT/FGA,2010,0.205
60,Orlando Magic,Arena,2010,Amway Arena
61,Orlando Magic,Attendance,2010,715901
62,Orlando Magic,Primary Color,2010,#0075BD
63,Orlando Magic,Secondary Color,2010,#C6CDD3
64,Los Angeles Lakers,Rk,2010,5
65,Los Angeles Lakers,Division,2010,West
66,Los Angeles Lakers,Conference,2010,Pacific
