,Team Name,Indicator Name,Year,Value,Team,year,SRS Rank,Division,Conference,League Win Ratio,Regular Season Rank,Final Rank,Age,Wins,Losses,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,oeFG%,oTOV%,oORB%,oFT/FGA,deFG%,dTOV%,dDRB%,dFT/FGA,Arena,Attendance,Primary Color,Secondary Color
0,Cleveland Cavaliers,SRS Rank,2010,2,Cleveland Cavaliers,2010,2,East,Central,0.744,1,5,28,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,91.4,0.341,0.248,0.57,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,Quicken Loans Arena,843042,#860038,#002B60
1,Cleveland Cavaliers,Division,2010,East,Cleveland Cavaliers,2010,2,East,Central,0.744,1,5,28,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,91.4,0.341,0.248,0.57,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,Quicken Loans Arena,843042,#860038,#002B60
2,Cleveland Cavaliers,Conference,2010,Central,Cleveland Cavaliers,2010,2,East,Central,0.744,1,5,28,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,91.4,0.341,0.248,0.57,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,Quicken Loans Arena,843042,#860038,#002B60
3,Cleveland Cavaliers,League Win Ratio,2010,0.744,Cleveland Cavaliers,2010,2,East,Central,0.744,1,5,28,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,91.4,0.341,0.248,0.57,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,Quicken Loans Arena,843042,#860038,#002B60
4,Cleveland Cavaliers,Regular Season Rank,2010,1,Cleveland Cavaliers,2010,2,East,Central,0.744,1,5,28,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,91.4,0.341,0.248,0.57,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,Quicken Loans Arena,843042,#860038,#002B60
5,Cleveland Cavaliers,Final Rank,2010,5,Cleveland Cavaliers,2010,2,East,Central,0.744,1,5,28,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,91.4,0.341,0.248,0.57,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,Quicken Loans Arena,843042,#860038,#002B60
6,Cleveland Cavaliers,Age,2010,28,Cleveland Cavaliers,2010,2,East,Central,0.744,1,5,28,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,91.4,0.341,0.248,0.57,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,Quicken Loans Arena,843042,#860038,#002B60
7,Cleveland Cavaliers,Wins,2010,61,Cleveland Cavaliers,2010,2,East,Central,0.744,1,5,28,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,91.4,0.341,0.248,0.57,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,Quicken Loans Arena,843042,#860038,#002B60
8,Cleveland Cavaliers,Losses,2010,21,Cleveland Cavaliers,2010,2,East,Central,0.744,1,5,28,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,91.4,0.341,0.248,0.57,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,Quicken Loans Arena,843042,#860038,#002B60
9,Cleveland Cavaliers,PW,2010,59,Cleveland Cavaliers,2010,2,East,Central,0.744,1,5,28,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,91.4,0.341,0.248,0.57,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,Quicken Loans Arena,843042,#860038,#002B60
